"file","hex","mode","confidence"
"hover.webp","#a96a4b","saturated","0.937"
"hover-1.webp","#aa7952","saturated","0.998"
"hover-2.webp","#dbb9a5","saturated","0.983"
"hover-and-shade.webp","#9e4f34","saturated","0.842"
"img-cb.webp","#b75141","saturated","0.987"
"lb1.webp","#bc0119","saturated","0.893"
"lbmain.webp","#bf5a5e","saturated","0.886"
"Lip-liners-3.webp","#785245","saturated","0.824"
"Liquid-Lipstick.webp","#a1322e","saturated","0.953"
"LL1.webp","#a97763","saturated","0.752"
"ll2.webp","#710102","saturated","0.951"
"Marble-Powder.webp","#c17159","saturated","0.895"
"marble-shade.webp","#96452d","saturated","0.975"
"Marshmsllow-Blush.webp","#d39c76","saturated","0.92"
"Micellar.webp","#d8d8d8","neutral","0"
"Micellar-Cleansing-Water.webp","#efa0c0","saturated","0.309"
"Milk-Bath-4.webp","#cfc6c1","neutral","0"
"milky-texture.webp","#c5c2bf","neutral","0"
"Moisturizer.webp","#c3879b","saturated","0.741"
"Moisturizer-29737.webp","#bd8c98","saturated","0.266"
"Moon-River-brush.webp","#a79595","neutral","0.02"
"Nude-Nail-Polishes.webp","#ae5a6c","saturated","0.437"
"outside-pic.webp","#ab374e","saturated","0.576"
"papaya-top-view.webp","#cc7b62","saturated","0.891"
"Peach-Sorbet-Lip-Butter-Balm.webp","#df7f6e","saturated","0.953"
"Pen-1-Cacao-shadow.webp","#c59e93","saturated","0.477"
"Pen-2-Rosy-Shadow.webp","#c79a93","saturated","0.485"
"Pen-5-Romantic-Rose-shadow.webp","#b89589","saturated","0.469"
"Pen-6-Bare-Shadow.webp","#b89389","saturated","0.533"
"Pen-7-Naked-Shadow.webp","#b39186","saturated","0.511"
"Pen-8-Soft-Brown-2.webp","#af8d81","saturated","0.49"
"pen-black.webp","#d59c88","saturated","0.651"
"pink-mer.webp","#d19b95","saturated","0.847"
"Pink-Nail-Polishes.webp","#c05a81","saturated","0.518"
"porcelain-product.webp","#cea992","saturated","0.788"
"post.webp","#cf5c6d","saturated","0.719"
"Purple-Nail-Polishes.webp","#84348c","saturated","0.341"
"Raspberry-Jam-Lip-Butter-Balm.webp","#852347","saturated","0.913"
